β,U,ndens,λsp_old,λsp,λch,λsp_sc,λch_sc,χAF,χAF_m,χAF_dm,χAF_dm_sc,χd0,χd0_m,χd0_dm,χd0_dm_sc,χdπ,χdπ_m,χdπ_dm,χdπ_dm_sc
100.0,2.0,0.929878911039094,0.1017031677749183,0.10097877588894137,16.20846256042119,0.1013752396848042,2.4798333670361177,-9.935965370124318,944.5594458989304,2991.3007276485114,1368.4261174830337,0.13817584821977597,0.13817584821977597,0.04265189462112963,0.10291254709629767,0.13711663985070516,0.13711663985070516,0.042550433089342914,0.10232383327637136
100.0,2.0,0.981404692677737,0.14382349852157547,0.1436669573383864,38.47026131094799,0.1437209694729919,6.621371980251624,-6.965192551086188,3961.1855813485545,10426.605760894721,6670.196391011195,0.126184289079758,0.126184289079758,0.02155396399846959,0.06874605687949029,0.12928983370627378,0.12928983370627378,0.02164276297671834,0.06965761530133549
100.0,2.0,1.00756456358779,0.14597096609681942,0.14581139493491768,45.00465403052435,0.14585888851656695,7.917087065570168,-6.862424491941243,4002.0370936363197,11074.002797978319,7257.148618212797,0.13293448602940647,0.13293448602940647,0.019037771441502652,0.06476856120136483,0.132726113542297,0.132726113542297,0.019033492060830225,0.06471905691928186
20.0,2.0,0.833807330827281,0.008304940962637638,0.30070571927916795,-4.184073066554917,0.06105870647763183,-2.922982470301847,8.605466584476817,8.031474063954926,2.398593906162641,5.641306215586338,0.20336517214480743,0.20336517214480745,1.3639034021317626,0.5014340134435972,0.19638010158612432,0.19638010158612432,1.1012093492162893,0.46100302975563195
20.0,2.0,0.841220067172996,0.013568823474077271,0.09989978298898913,-3.6150730909749376,0.04818243383623342,-2.55552474295674,9.899306422181898,8.727069504030903,4.977180595096014,6.702430301028754,0.1981325096193732,0.1981325096193732,0.6982975838259827,0.40134811780672525,0.18931233259890998,0.18931233259890998,0.599806997722853,0.3667367824495039
20.0,2.0,0.849550155873613,0.013563597388253112,0.09703557433238452,-3.7921844169008736,0.0373905276923862,-2.3182435810946678,11.130684231866374,9.670681020456762,5.351104398180988,7.859641626464074,0.19273638734450205,0.19273638734450205,0.7162043989176746,0.34840895532587907,0.18161364638028524,0.18161364638028524,0.5834272535824346,0.313681148327736
20.0,2.0,0.857588029532075,0.013630984710404767,0.09828512591175534,-4.029261102211463,0.03296283770110774,-2.1940647049180133,12.738523820991059,10.853872364634432,5.6565194772479055,8.971436524718726,0.18741227456803888,0.18741227456803888,0.7653635050009374,0.31829241491040094,0.1740245752854089,0.1740245752854089,0.5823929538582405,0.2815117069866633
20.0,2.0,0.863494478027742,0.019845627121392723,0.0982931313034284,-4.183301004530904,0.03396590249647823,-1.9120479236587966,14.981798485621415,11.548239207635069,6.059108106956224,9.929149258384177,0.1815301246905156,0.1815301246905156,0.754474096975378,0.2780342155587574,0.16802523731195956,0.16802523731195956,0.5655513926974044,0.2475591298663108
20.0,2.0,0.871578796357913,0.022803433449004172,0.09320335300643509,-4.302182645645472,0.03341244367886824,-1.7377376097823072,19.03938831246344,13.275605827034106,6.862191134598083,11.636683275346913,0.17758936721966012,0.17758936721966012,0.7525671343280729,0.25685612289621335,0.1619989589437369,0.1619989589437369,0.5345602477073597,0.22547194612496854
20.0,2.0,0.905383453508597,0.03572556955934181,0.03234149263337677,1.8157168922227827,0.037352374811407005,-0.5381896750671211,113.61578913714143,22.45820145606977,24.305420231933358,21.666609284132957,0.15312757893487827,0.15312757893487827,0.11981473071796933,0.1668804799743145,0.13602485265209777,0.13602485265209777,0.10908319825268743,0.146769427246802
20.0,2.0,0.911298457104704,0.037248930616767484,0.03299968417642316,2.842229709871633,0.038117854798242555,-0.3369171008019243,332.05845060686937,24.838272658055207,27.769136814402433,24.313524180946306,0.14774462652169132,0.14774462652169132,0.10405106833033664,0.15548427474033089,0.13133646469739113,0.13133646469739113,0.09563647702162736,0.13741710291879042
20.0,2.0,0.916678037562876,0.04212718955277008,0.03702074456409035,4.11564816981588,0.04234788050627005,-0.11384991237745767,-181.65007703033442,27.30591661376412,31.730262623162396,27.142352218381426,0.14301633366292454,0.14301633366292454,0.09002637005097212,0.1453835259579838,0.1281593052452445,0.1281593052452445,0.08390361899151223,0.1300569566326668
20.0,2.0,0.919957739605796,0.04515834515326333,0.03967716098455154,5.0690157697162235,0.04500866243610563,0.1071118211859449,-89.26948619827807,29.449608204326136,35.11837090415225,29.579999723467143,0.1415617120395657,0.1415617120395657,0.08241935251258534,0.13944728227119152,0.12651479811961522,0.12651479811961522,0.07708180932660627,0.12482328896734338
20.0,2.0,0.923330121892198,0.04006607294864043,0.035027708851739156,4.982054037046122,0.0399088025393549,0.12171583843777198,-130.6625564724237,30.852036700501582,36.53047184112177,31.002464142412215,0.1379802053017205,0.1379802053017205,0.08176968960304869,0.13570118846790444,0.12305498581727531,0.12305498581727531,0.07628636453471438,0.1212390980353856
20.0,2.0,0.924414742934766,0.05094020716032243,0.04486399390538027,6.7424216570905395,0.050402688077544826,0.41766178888460137,-53.314371514795646,31.071785323455604,38.303425940932236,31.599550832093584,0.1363638932059629,0.1363638932059629,0.07104421624064157,0.12901592198799489,0.12413216977992897,0.12413216977992897,0.06757509630453067,0.11801371743353224
